	1N	1T	2T	3N	3T	4N	5N	5T
0610005C13Rik	0	0	0	6	0	6	6	0
0610007P14Rik	30	24	20	14	8	28	26	35
0610009B22Rik	2	4	12	7	12	6	2	12
0610009L18Rik	0	0	0	0	2	1	8	0
0610009O20Rik	17	12	13	17	21	4	12	17
0610010B08Rik	0	0	0	0	0	0	0	0
0610010F05Rik	11	12	15	8	15	8	4	8
0610010K14Rik	8	25	11	12	20	10	14	10
0610011F06Rik	8	15	12	8	11	14	14	22
0610012G03Rik	10	12	18	16	16	22	18	12
0610030E20Rik	12	23	22	22	18	12	19	19
0610031O16Rik	0	0	0	0	0	0	0	0
0610037L13Rik	15	8	10	2	10	12	6	8
0610038B21Rik	0	0	0	0	0	0	0	0
0610039H22Rik	0	0	0	0	0	0	0	0
0610039K10Rik	0	0	0	0	0	0	0	0
0610040B10Rik	0	0	2	0	0	0	0	1
0610040F04Rik	1	0	2	1	2	4	0	0
0610040J01Rik	24	13	28	30	14	41	38	25
0610043K17Rik	0	0	1	0	0	0	0	0
1010001N08Rik	2	0	0	0	2	0	2	0
1110001J03Rik	6	2	4	6	4	15	4	2
1110002L01Rik	2	3	0	0	1	4	0	0
1110004E09Rik	2	8	20	4	6	4	5	4
1110004F10Rik	25	34	26	32	86	29	31	59
1110006O24Rik	0	0	0	0	2	0	0	0
1110007C09Rik	18	10	8	17	6	17	15	9
1110008F13Rik	3	17	15	10	9	5	11	28
1110008L16Rik	6	2	18	8	6	6	2	12
1110008P14Rik	0	14	12	10	2	2	4	2
1110012L19Rik	0	4	8	0	0	10	4	6
1110015O18Rik	0	0	0	0	0	0	0	0
1110017D15Rik	0	0	0	0	0	0	0	0
1110019D14Rik	0	2	0	2	2	0	2	6
1110020A21Rik	0	0	0	0	0	0	0	0
1110025L11Rik	0	0	0	0	0	0	0	0
1110028F11Rik	0	2	2	0	3	0	0	4
1110028F18Rik	0	0	0	0	0	0	0	0
1110032A03Rik	0	2	6	6	0	8	2	6
1110032F04Rik	0	0	0	0	2	0	0	0
1110034G24Rik	0	4	2	0	14	2	2	4
1110036E04Rik	0	0	0	0	0	0	0	0
1110037F02Rik	28	45	22	6	54	26	13	37
1110038B12Rik	15	28	11	10	10	15	15	25
1110038F14Rik	10	14	6	6	0	10	4	6
1110046J04Rik	0	0	0	0	0	0	1	0
1110051M20Rik	0	12	2	2	2	0	0	1
1110058D11Rik	0	0	0	0	0	0	0	0
1110059E24Rik	16	14	12	18	10	22	22	8
1110059G10Rik	2	2	7	0	6	6	4	2
1110065P20Rik	0	3	3	0	0	5	2	4
1190002F15Rik	0	2	0	0	0	0	0	8
1190002N15Rik	6	6	28	6	6	8	9	4
1190003K10Rik	0	0	0	0	0	0	0	0
1190005I06Rik	0	0	0	0	0	0	0	0
1190007I07Rik	10	10	2	0	0	0	0	6
1200014J11Rik	16	36	15	17	22	8	12	16
1300002E11Rik	6	8	8	4	11	6	8	2
1300017J02Rik	0	0	0	0	0	0	0	0
1500004A13Rik	0	2	1	0	0	0	0	4
1500009C09Rik	0	0	0	0	4	0	4	4
1500009L16Rik	2	0	0	0	4	4	8	0
1500011B03Rik	4	8	2	0	6	0	6	6
1500011K16Rik	0	12	0	0	10	2	4	0
1500012F01Rik	14	9	11	14	26	8	12	19
1500012K07Rik	0	0	0	0	0	0	0	0
1500015A07Rik	6	0	0	2	2	0	6	2
1500015L24Rik	0	0	0	0	0	0	0	0
1500015O10Rik	0	0	0	0	0	0	0	0
1500017E21Rik	0	0	0	0	0	0	0	0
1500026H17Rik	0	0	0	0	0	0	0	0
1600002D24Rik	0	0	0	0	0	0	0	0
1600002H07Rik	0	10	6	0	0	2	4	4
1600002K03Rik	4	2	0	6	4	0	12	4
1600010M07Rik	0	0	0	0	0	0	2	0
1600012H06Rik	4	15	18	24	14	19	22	12
1600014C10Rik	2	8	10	4	6	2	4	12
1600014C23Rik	0	0	0	0	0	0	0	0
1600014K23Rik	0	0	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0	0	0
1600020E01Rik	0	0	2	1	2	0	3	0
1600023N17Rik	0	0	0	0	0	0	0	0
1600025M17Rik	0	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0	0	0
1600029I14Rik	0	0	0	0	0	0	0	2
1600029O15Rik	0	0	0	0	0	0	0	0
1700001C02Rik	0	0	0	0	0	0	0	0
1700001C19Rik	0	0	0	0	0	0	0	0
1700001D01Rik	0	0	0	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0	0	0
1700001G11Rik	0	0	0	0	0	0	0	0
1700001G17Rik	0	0	0	1	0	0	0	0
1700001J03Rik	0	0	0	0	0	0	0	0
1700001J11Rik	0	0	0	0	0	0	0	0
1700001K19Rik	0	0	0	0	0	0	0	0
1700001K23Rik	0	0	0	0	0	0	0	0
1700001L05Rik	6	31	7	10	20	2	6	8
1700001L19Rik	2	0	0	0	0	0	0	0
1700001O22Rik	2	2	0	2	4	2	2	8
1700001P01Rik	0	0	0	0	0	0	0	0
1700003C15Rik	0	0	0	0	0	0	0	0
1700003D09Rik	2	0	1	5	2	0	8	1
1700003E16Rik	0	0	0	0	0	0	10	2
1700003E24Rik	0	0	0	0	0	0	0	0
1700003F12Rik	0	0	0	0	0	0	0	0
1700003G13Rik	0	0	0	0	0	0	0	0
1700003G18Rik	0	0	0	0	0	0	0	2
1700003H04Rik	0	0	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0
1700003M02Rik	0	0	0	0	0	0	0	0
1700003M07Rik	0	0	0	0	0	0	0	0
1700003P14Rik	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0	0	0
1700007G11Rik	0	0	0	0	0	0	0	0
1700007J10Rik	0	0	0	0	0	0	0	1
1700007K09Rik	0	0	0	0	0	0	0	0
1700007K13Rik	0	2	0	0	0	0	0	0
1700007L15Rik	0	0	0	0	0	0	0	0
